ENSGMOP00000007174	ENSP00000309415
ENSGMOP00000001408	ENSP00000352438
ENSGMOP00000012582	ENSP00000406157
ENSGMOP00000003272	ENSP00000321271
ENSGMOP00000005439	ENSP00000206765
ENSGMOP00000014801	ENSP00000299767
ENSGMOP00000003371	ENSP00000283351
ENSGMOP00000016727	ENSP00000300413
ENSGMOP00000019830	ENSP00000306397
ENSGMOP00000005538	ENSP00000381581
ENSGMOP00000005539	ENSP00000243077
ENSGMOP00000016037	ENSP00000264657
ENSGMOP00000004484	ENSP00000376309
ENSGMOP00000018936	ENSP00000449328
ENSGMOP00000000476	ENSP00000346839
ENSGMOP00000010879	ENSP00000318602
ENSGMOP00000008436	ENSP00000321070
ENSGMOP00000011338	ENSP00000419628
ENSGMOP00000019206	ENSP00000369915
ENSGMOP00000007590	ENSP00000359225
ENSGMOP00000010722	ENSP00000480853
ENSGMOP00000008023	ENSP00000349722
ENSGMOP00000020309	ENSP00000222247
ENSGMOP00000020304	ENSP00000356632
ENSGMOP00000000934	ENSP00000305675
ENSGMOP00000010645	ENSP00000286091
ENSGMOP00000009128	ENSP00000290541
ENSGMOP00000008029	ENSP00000381736
ENSGMOP00000008028	ENSP00000250092
ENSGMOP00000001490	ENSP00000415536
ENSGMOP00000003599	ENSP00000337915
ENSGMOP00000019681	ENSP00000360664
ENSGMOP00000012888	ENSP00000228825
ENSGMOP00000012764	ENSP00000359539
ENSGMOP00000011564	ENSP00000327255
ENSGMOP00000012641	ENSP00000345837
ENSGMOP00000011567	ENSP00000347232
ENSGMOP00000002070	ENSP00000417229
ENSGMOP00000020947	ENSP00000388806
ENSGMOP00000016995	ENSP00000421922
ENSGMOP00000020837	ENSP00000355877
ENSGMOP00000020783	ENSP00000318318
ENSGMOP00000006050	ENSP00000273075
ENSGMOP00000001793	ENSP00000356124
ENSGMOP00000020424	ENSP00000296503
ENSGMOP00000017039	ENSP00000329715
ENSGMOP00000013641	ENSP00000347184
ENSGMOP00000013161	ENSP00000479606
ENSGMOP00000005431	ENSP00000397261
ENSGMOP00000014832	ENSP00000367309
ENSGMOP00000010299	ENSP00000377192
ENSGMOP00000017507	ENSP00000352738
ENSGMOP00000015288	ENSP00000446215
ENSGMOP00000020548	ENSP00000357801
ENSGMOP00000009600	ENSP00000370115
ENSGMOP00000016645	ENSP00000393719
ENSGMOP00000005212	ENSP00000310149
ENSGMOP00000012083	ENSP00000296255
ENSGMOP00000010461	ENSP00000348442
ENSGMOP00000005662	ENSP00000367992
ENSGMOP00000010398	ENSP00000325376
ENSGMOP00000015732	ENSP00000325240
ENSGMOP00000007337	ENSP00000346550
ENSGMOP00000010547	ENSP00000302620
ENSGMOP00000001883	ENSP00000251775
ENSGMOP00000009579	ENSP00000234454
ENSGMOP00000007237	ENSP00000233893
ENSGMOP00000017623	ENSP00000265029
ENSGMOP00000007014	ENSP00000395473
ENSGMOP00000000081	ENSP00000253792
ENSGMOP00000007232	ENSP00000452762
ENSGMOP00000007895	ENSP00000420914
ENSGMOP00000017626	ENSP00000487719
ENSGMOP00000015942	ENSP00000371517
ENSGMOP00000002855	ENSP00000268379
ENSGMOP00000009090	ENSP00000346046
ENSGMOP00000015947	ENSP00000421566
ENSGMOP00000007804	ENSP00000260447
ENSGMOP00000018853	ENSP00000265174
ENSGMOP00000017704	ENSP00000379386
ENSGMOP00000019204	ENSP00000348775
ENSGMOP00000021065	ENSP00000044462
ENSGMOP00000009583	ENSP00000437041
ENSGMOP00000009608	ENSP00000413507
ENSGMOP00000019632	ENSP00000261714
ENSGMOP00000000557	ENSP00000259253
ENSGMOP00000019634	ENSP00000432282
ENSGMOP00000004228	ENSP00000216951
ENSGMOP00000009940	ENSP00000371110
ENSGMOP00000000153	ENSP00000261574
ENSGMOP00000004343	ENSP00000236850
ENSGMOP00000013569	ENSP00000052754
ENSGMOP00000004341	ENSP00000418082
ENSGMOP00000010168	ENSP00000362334
ENSGMOP00000007323	ENSP00000446955
ENSGMOP00000017692	ENSP00000267842
ENSGMOP00000002750	ENSP00000299767
ENSGMOP00000015542	ENSP00000262455
ENSGMOP00000017364	ENSP00000432083
ENSGMOP00000014543	ENSP00000387123
ENSGMOP00000014047	ENSP00000327801
ENSGMOP00000019025	ENSP00000310572
ENSGMOP00000008800	ENSP00000358307
ENSGMOP00000006766	ENSP00000361777
ENSGMOP00000007529	ENSP00000275603
ENSGMOP00000017446	ENSP00000231487
ENSGMOP00000017368	ENSP00000490931
ENSGMOP00000019704	ENSP00000258317
ENSGMOP00000019705	ENSP00000385080
ENSGMOP00000018855	ENSP00000331897
ENSGMOP00000002784	ENSP00000325448
ENSGMOP00000002353	ENSP00000239940
ENSGMOP00000003610	ENSP00000420213
ENSGMOP00000014125	ENSP00000410964
ENSGMOP00000000554	ENSP00000348459
ENSGMOP00000021604	ENSP00000375649
ENSGMOP00000014946	ENSP00000398803
ENSGMOP00000016344	ENSP00000335153
ENSGMOP00000016076	ENSP00000293328
ENSGMOP00000006294	ENSP00000331678
ENSGMOP00000012015	ENSP00000246533
ENSGMOP00000008207	ENSP00000401831
ENSGMOP00000013567	ENSP00000455047
ENSGMOP00000001334	ENSP00000413079
ENSGMOP00000003588	ENSP00000432799
ENSGMOP00000016180	ENSP00000413575
ENSGMOP00000020262	ENSP00000281243
ENSGMOP00000014309	ENSP00000215071
ENSGMOP00000002527	ENSP00000359871
ENSGMOP00000016983	ENSP00000369586
ENSGMOP00000021842	ENSP00000316042
ENSGMOP00000003030	ENSP00000324343
ENSGMOP00000016989	ENSP00000313490
ENSGMOP00000015880	ENSP00000288111
ENSGMOP00000004045	ENSP00000337852
ENSGMOP00000016165	ENSP00000053867
ENSGMOP00000016009	ENSP00000364815
ENSGMOP00000003131	ENSP00000450040
ENSGMOP00000012549	ENSP00000011473
ENSGMOP00000016005	ENSP00000485525
ENSGMOP00000013838	ENSP00000350425
ENSGMOP00000011693	ENSP00000299427
ENSGMOP00000012934	ENSP00000259469
ENSGMOP00000008381	ENSP00000304845
ENSGMOP00000013889	ENSP00000465589
ENSGMOP00000010228	ENSP00000308695
ENSGMOP00000008279	ENSP00000266735
ENSGMOP00000001208	ENSP00000403536
ENSGMOP00000017941	ENSP00000311032
ENSGMOP00000013881	ENSP00000272067
ENSGMOP00000006488	ENSP00000364119
ENSGMOP00000008270	ENSP00000249071
ENSGMOP00000006134	ENSP00000304592
ENSGMOP00000003657	ENSP00000351190
ENSGMOP00000013498	ENSP00000356652
ENSGMOP00000009803	ENSP00000261889
ENSGMOP00000002363	ENSP00000452780
ENSGMOP00000006825	ENSP00000260599
ENSGMOP00000008472	ENSP00000252699
ENSGMOP00000010761	ENSP00000437073
ENSGMOP00000017417	ENSP00000351740
ENSGMOP00000000904	ENSP00000371152
ENSGMOP00000016483	ENSP00000323313
ENSGMOP00000013533	ENSP00000361635
ENSGMOP00000000482	ENSP00000387262
ENSGMOP00000016493	ENSP00000463784
ENSGMOP00000003324	ENSP00000261416
ENSGMOP00000019804	ENSP00000355627
ENSGMOP00000013539	ENSP00000357055
ENSGMOP00000010678	ENSP00000307705
ENSGMOP00000012330	ENSP00000317257
ENSGMOP00000003241	ENSP00000245206
ENSGMOP00000015087	ENSP00000470972
ENSGMOP00000001492	ENSP00000217131
ENSGMOP00000016716	ENSP00000229270
ENSGMOP00000005403	ENSP00000312618
ENSGMOP00000010221	ENSP00000455744
ENSGMOP00000012862	ENSP00000261835
ENSGMOP00000004818	ENSP00000263847
ENSGMOP00000008499	ENSP00000333667
ENSGMOP00000005362	ENSP00000302896
ENSGMOP00000012733	ENSP00000272317
ENSGMOP00000011444	ENSP00000358106
ENSGMOP00000001746	ENSP00000317334
ENSGMOP00000005964	ENSP00000310832
ENSGMOP00000016412	ENSP00000452909
ENSGMOP00000001440	ENSP00000378368
ENSGMOP00000006318	ENSP00000272452
ENSGMOP00000012529	ENSP00000343027
ENSGMOP00000006315	ENSP00000349860
ENSGMOP00000015013	ENSP00000216181
ENSGMOP00000011068	ENSP00000358747
ENSGMOP00000012434	ENSP00000440246
ENSGMOP00000013083	ENSP00000388293
ENSGMOP00000008987	ENSP00000306362
ENSGMOP00000010901	ENSP00000307900
ENSGMOP00000008152	ENSP00000346827
ENSGMOP00000018433	ENSP00000394496
ENSGMOP00000010902	ENSP00000365439
ENSGMOP00000018002	ENSP00000221957
ENSGMOP00000006480	ENSP00000354125
ENSGMOP00000009997	ENSP00000351108
ENSGMOP00000013767	ENSP00000296658
ENSGMOP00000012755	ENSP00000223215
ENSGMOP00000004381	ENSP00000348234
ENSGMOP00000002034	ENSP00000228318
ENSGMOP00000018794	ENSP00000474560
ENSGMOP00000008725	ENSP00000359211
ENSGMOP00000002148	ENSP00000366246
ENSGMOP00000008720	ENSP00000261772
ENSGMOP00000016001	ENSP00000299259
ENSGMOP00000008884	ENSP00000317331
ENSGMOP00000017097	ENSP00000359976
ENSGMOP00000017547	ENSP00000264904
ENSGMOP00000018798	ENSP00000289228
ENSGMOP00000017542	ENSP00000304467
ENSGMOP00000015864	ENSP00000444688
ENSGMOP00000016936	ENSP00000216465
ENSGMOP00000011522	ENSP00000255192
ENSGMOP00000019787	ENSP00000359539
ENSGMOP00000011524	ENSP00000331209
ENSGMOP00000016563	ENSP00000299698
ENSGMOP00000008657	ENSP00000401010
ENSGMOP00000020043	ENSP00000304782
ENSGMOP00000009700	ENSP00000370115
ENSGMOP00000020041	ENSP00000273550
ENSGMOP00000011282	ENSP00000264335
ENSGMOP00000017618	ENSP00000314649
ENSGMOP00000007849	ENSP00000463058
ENSGMOP00000013231	ENSP00000403524
ENSGMOP00000004269	ENSP00000372155
ENSGMOP00000013237	ENSP00000248553
ENSGMOP00000021021	ENSP00000382004
ENSGMOP00000020989	ENSP00000377508
ENSGMOP00000018319	ENSP00000309565
ENSGMOP00000017068	ENSP00000361883
ENSGMOP00000004263	ENSP00000225972
ENSGMOP00000019134	ENSP00000343885
ENSGMOP00000008257	ENSP00000359345
ENSGMOP00000013398	ENSP00000381607
ENSGMOP00000020570	ENSP00000363500
ENSGMOP00000016838	ENSP00000285379
ENSGMOP00000011820	ENSP00000338413
ENSGMOP00000003787	ENSP00000264279
ENSGMOP00000003729	ENSP00000349142
ENSGMOP00000006210	ENSP00000301522
ENSGMOP00000010123	ENSP00000388169
ENSGMOP00000021934	ENSP00000365950
ENSGMOP00000000563	ENSP00000479636
ENSGMOP00000021936	ENSP00000366679
ENSGMOP00000010080	ENSP00000381785
ENSGMOP00000019060	ENSP00000435585
ENSGMOP00000014503	ENSP00000219150
ENSGMOP00000004578	ENSP00000253039
ENSGMOP00000010081	ENSP00000376333
ENSGMOP00000002621	ENSP00000477538
ENSGMOP00000016834	ENSP00000262219
ENSGMOP00000018261	ENSP00000410769
ENSGMOP00000002625	ENSP00000357748
ENSGMOP00000018311	ENSP00000279022
ENSGMOP00000021336	ENSP00000450527
ENSGMOP00000003867	ENSP00000486163
ENSGMOP00000018543	ENSP00000378394
ENSGMOP00000002787	ENSP00000348461
ENSGMOP00000009973	ENSP00000296424
ENSGMOP00000001672	ENSP00000262418
ENSGMOP00000012110	ENSP00000203407
ENSGMOP00000018895	ENSP00000378191
ENSGMOP00000019748	ENSP00000246868
ENSGMOP00000005227	ENSP00000317123
ENSGMOP00000012057	ENSP00000426167
ENSGMOP00000009979	ENSP00000361562
ENSGMOP00000005222	ENSP00000302886
ENSGMOP00000014987	ENSP00000363162
ENSGMOP00000005014	ENSP00000246337
ENSGMOP00000010152	ENSP00000354294
ENSGMOP00000019050	ENSP00000324105
ENSGMOP00000013692	ENSP00000350949
ENSGMOP00000020017	ENSP00000432568
ENSGMOP00000020228	ENSP00000413436
ENSGMOP00000017804	ENSP00000290765
ENSGMOP00000013128	ENSP00000400142
ENSGMOP00000007101	ENSP00000359258
ENSGMOP00000008873	ENSP00000377192
ENSGMOP00000013056	ENSP00000479153
ENSGMOP00000016538	ENSP00000348395
ENSGMOP00000006350	ENSP00000309474
ENSGMOP00000013052	ENSP00000294119
ENSGMOP00000012509	ENSP00000358896
ENSGMOP00000016283	ENSP00000472985
ENSGMOP00000001644	ENSP00000269349
ENSGMOP00000021809	ENSP00000248975
ENSGMOP00000007204	ENSP00000302621
ENSGMOP00000012504	ENSP00000313829
ENSGMOP00000016288	ENSP00000361626
ENSGMOP00000017320	ENSP00000425634
ENSGMOP00000007197	ENSP00000411821
ENSGMOP00000002381	ENSP00000393887
ENSGMOP00000004352	ENSP00000370023
ENSGMOP00000017329	ENSP00000358727
ENSGMOP00000016233	ENSP00000356275
ENSGMOP00000016235	ENSP00000261405
ENSGMOP00000007830	ENSP00000265388
ENSGMOP00000000266	ENSP00000398610
ENSGMOP00000009097	ENSP00000311344
ENSGMOP00000008234	ENSP00000280551
ENSGMOP00000015093	ENSP00000349541
ENSGMOP00000008233	ENSP00000196371
ENSGMOP00000008339	ENSP00000312999
ENSGMOP00000013527	ENSP00000368727
ENSGMOP00000011624	ENSP00000464342
ENSGMOP00000008333	ENSP00000410769
ENSGMOP00000008238	ENSP00000401564
ENSGMOP00000017931	ENSP00000311032
ENSGMOP00000007030	ENSP00000282412
ENSGMOP00000000869	ENSP00000446955
ENSGMOP00000013477	ENSP00000256854
ENSGMOP00000013472	ENSP00000414321
ENSGMOP00000020090	ENSP00000376475
ENSGMOP00000009127	ENSP00000321259
ENSGMOP00000015154	ENSP00000370115
ENSGMOP00000004037	ENSP00000224073
ENSGMOP00000014236	ENSP00000216254
ENSGMOP00000003363	ENSP00000357879
ENSGMOP00000007748	ENSP00000222219
ENSGMOP00000012470	ENSP00000216605
ENSGMOP00000000416	ENSP00000236959
ENSGMOP00000004422	ENSP00000262428
ENSGMOP00000011119	ENSP00000261994
ENSGMOP00000010984	ENSP00000303147
ENSGMOP00000004857	ENSP00000406162
ENSGMOP00000012800	ENSP00000363638
ENSGMOP00000016203	ENSP00000438248
ENSGMOP00000005479	ENSP00000317439
ENSGMOP00000012805	ENSP00000246151
ENSGMOP00000003913	ENSP00000301012
ENSGMOP00000011101	ENSP00000229239
ENSGMOP00000018060	ENSP00000346921
ENSGMOP00000020011	ENSP00000357048
ENSGMOP00000013878	ENSP00000463379
ENSGMOP00000000636	ENSP00000254878
ENSGMOP00000015579	ENSP00000320171
ENSGMOP00000004485	ENSP00000311469
ENSGMOP00000011654	ENSP00000361894
ENSGMOP00000006011	ENSP00000276651
ENSGMOP00000010716	ENSP00000367220
ENSGMOP00000007582	ENSP00000263238
ENSGMOP00000010059	ENSP00000299299
ENSGMOP00000011490	ENSP00000373918
ENSGMOP00000010657	ENSP00000378408
ENSGMOP00000016676	ENSP00000299022
ENSGMOP00000007420	ENSP00000390265
ENSGMOP00000020543	ENSP00000268261
ENSGMOP00000007925	ENSP00000367050
ENSGMOP00000013372	ENSP00000427679
ENSGMOP00000012718	ENSP00000435370
ENSGMOP00000018383	ENSP00000352522
ENSGMOP00000021257	ENSP00000318867
ENSGMOP00000008199	ENSP00000261733
ENSGMOP00000013379	ENSP00000369757
ENSGMOP00000008562	ENSP00000408910
ENSGMOP00000006785	ENSP00000338481
ENSGMOP00000020892	ENSP00000377823
ENSGMOP00000020488	ENSP00000263368
ENSGMOP00000008564	ENSP00000255030
ENSGMOP00000010308	ENSP00000301149
ENSGMOP00000015634	ENSP00000233838
ENSGMOP00000020899	ENSP00000280326
ENSGMOP00000010305	ENSP00000296930
ENSGMOP00000005294	ENSP00000284320
ENSGMOP00000018380	ENSP00000350937
ENSGMOP00000020956	ENSP00000300026
ENSGMOP00000009187	ENSP00000299138
ENSGMOP00000011156	ENSP00000385834
ENSGMOP00000018940	ENSP00000321691
ENSGMOP00000014544	ENSP00000377941
ENSGMOP00000001780	ENSP00000221418
ENSGMOP00000015122	ENSP00000231887
ENSGMOP00000020417	ENSP00000349078
ENSGMOP00000010970	ENSP00000261208
ENSGMOP00000015820	ENSP00000363041
ENSGMOP00000011409	ENSP00000345347
ENSGMOP00000009063	ENSP00000215829
ENSGMOP00000010875	ENSP00000355330
ENSGMOP00000009747	ENSP00000205948
ENSGMOP00000020551	ENSP00000000233
ENSGMOP00000017029	ENSP00000269980
ENSGMOP00000012489	ENSP00000363574
ENSGMOP00000007632	ENSP00000398495
ENSGMOP00000019522	ENSP00000359507
ENSGMOP00000013275	ENSP00000444788
ENSGMOP00000017023	ENSP00000438615
ENSGMOP00000009862	ENSP00000222572
ENSGMOP00000013271	ENSP00000402103
ENSGMOP00000001246	ENSP00000427802
ENSGMOP00000010379	ENSP00000378669
ENSGMOP00000002198	ENSP00000289371
ENSGMOP00000001786	ENSP00000346050
ENSGMOP00000014202	ENSP00000322706
ENSGMOP00000010377	ENSP00000334373
ENSGMOP00000002193	ENSP00000473631
ENSGMOP00000002821	ENSP00000383949
ENSGMOP00000018454	ENSP00000400175
ENSGMOP00000003626	ENSP00000438144
ENSGMOP00000011885	ENSP00000431049
ENSGMOP00000010571	ENSP00000421592
ENSGMOP00000005189	ENSP00000348163
ENSGMOP00000017617	ENSP00000473348
ENSGMOP00000018113	ENSP00000205402
ENSGMOP00000014894	ENSP00000327533
ENSGMOP00000002102	ENSP00000306817
ENSGMOP00000014722	ENSP00000258729
ENSGMOP00000017503	ENSP00000444935
ENSGMOP00000012026	ENSP00000375857
ENSGMOP00000020175	ENSP00000369677
ENSGMOP00000018616	ENSP00000452697
ENSGMOP00000003826	ENSP00000418868
ENSGMOP00000009241	ENSP00000295685
ENSGMOP00000011895	ENSP00000364883
ENSGMOP00000021277	ENSP00000478561
ENSGMOP00000018422	ENSP00000270645
ENSGMOP00000019786	ENSP00000414624
ENSGMOP00000018861	ENSP00000294724
ENSGMOP00000017297	ENSP00000420065
ENSGMOP00000016789	ENSP00000451112
ENSGMOP00000012081	ENSP00000367239
ENSGMOP00000005072	ENSP00000377958
ENSGMOP00000014588	ENSP00000355467
ENSGMOP00000005070	ENSP00000252711
ENSGMOP00000010260	ENSP00000490149
ENSGMOP00000009206	ENSP00000264613
ENSGMOP00000002447	ENSP00000318868
ENSGMOP00000009410	ENSP00000386935
ENSGMOP00000002333	ENSP00000254878
ENSGMOP00000017378	ENSP00000357838
ENSGMOP00000003138	ENSP00000219481
ENSGMOP00000011892	ENSP00000280605
ENSGMOP00000000183	ENSP00000276390
ENSGMOP00000020369	ENSP00000378868
ENSGMOP00000013719	ENSP00000283871
ENSGMOP00000013718	ENSP00000365569
ENSGMOP00000014473	ENSP00000352257
ENSGMOP00000002626	ENSP00000263672
ENSGMOP00000000526	ENSP00000270776
ENSGMOP00000013952	ENSP00000460871
ENSGMOP00000019718	ENSP00000258874
ENSGMOP00000019306	ENSP00000350090
ENSGMOP00000021753	ENSP00000327431
ENSGMOP00000016374	ENSP00000221130
ENSGMOP00000002822	ENSP00000318177
ENSGMOP00000013163	ENSP00000273450
ENSGMOP00000000641	ENSP00000376800
ENSGMOP00000014159	ENSP00000409924
ENSGMOP00000016277	ENSP00000333490
ENSGMOP00000015922	ENSP00000251166
ENSGMOP00000014029	ENSP00000356042
ENSGMOP00000013155	ENSP00000436049
ENSGMOP00000009844	ENSP00000267973
ENSGMOP00000021191	ENSP00000346088
ENSGMOP00000001286	ENSP00000278025
ENSGMOP00000016748	ENSP00000358896
